release,distributor,seasons,adjusted_gross
A Wrinkle in Time,Walt Disney Studios Motion Pictures,spring,121579115
A.I. Artificial Intelligence,Warner Bros.,summer,134434538
Abominable,Universal Pictures,fall,72208325
About Last Night,Screen Gems,winter,62256235
About Last Night,TriStar Pictures,summer,105657306
About Schmidt,New Line Cinema,holiday season,102296114
About a Boy,Universal Pictures,summer,69941119
Above the Law,Warner Bros.,spring,48872344
Above the Rim,New Line Cinema,spring,33194255
Abraham Lincoln: Vampire Hunter,Twentieth Century Fox,summer,49525263
Absence of Malice,Columbia Pictures,holiday season,130125012
Absolute Power,Sony Pictures Entertainment (SPE),winter,94128422
Accepted,Universal Pictures,summer,54848492
Ace Ventura: Pet Detective,Warner Bros.,winter,144263385
Ace Ventura: When Nature Calls,Warner Bros.,holiday season,206902176
Acrimony,Lionsgate,spring,52694406
Act of Valor,Relativity Media,winter,92416958
Action Jackson,Lorimar Motion Pictures,winter,52465565
Ad Astra,Twentieth Century Fox,fall,59724160
Addams Family Values,Paramount Pictures,holiday season,92880708
Addicted to Love,Warner Bros.,summer,65185418
Adrift,STX Entertainment,summer,38048464
Adventures in Babysitting,Walt Disney Studios Motion Pictures,summer,92451197
After Earth,Sony Pictures Entertainment (SPE),summer,78678726
After Hours,Warner Bros.,fall,29113976
After the Sunset,New Line Cinema,holiday season,45464543
Against All Odds,Columbia Pictures,winter,63765842
Agent Cody Banks,Metro-Goldwyn-Mayer (MGM),spring,79098244
Agnes of God,Columbia Pictures,fall,66902621
Air America,TriStar Pictures,summer,72975962
Air Bud,Walt Disney Studios Motion Pictures,summer,43511658
Air Force One,Sony Pictures Entertainment (SPE),summer,322387184
Airplane II: The Sequel,Paramount Pictures,holiday season,85067000
Aladdin,Walt Disney Studios Motion Pictures,holiday season,424975253
Aladdin,Walt Disney Studios Motion Pictures,summer,423115467
Alexander,Warner Bros.,holiday season,55021040
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Walt Disney Studios Motion Pictures,fall,84021505
Ali,Sony Pictures Entertainment (SPE),holiday season,62748361
Alice Through the Looking Glass,Walt Disney Studios Motion Pictures,summer,97072140
Alice in Wonderland,Walt Disney Studios Motion Pictures,spring,461183731
Alien Nation,Twentieth Century Fox,fall,65310069
Alien vs. Predator,Twentieth Century Fox,summer,130057214
Alien: Covenant,Twentieth Century Fox,summer,91342298
Alien: Resurrection,Twentieth Century Fox,holiday season,89855837
Aliens,Twentieth Century Fox,summer,232487477
Aliens vs. Predator: Requiem,Twentieth Century Fox,holiday season,41745500
Alien³,Twentieth Century Fox,summer,120377592
Alita: Battle Angel,Twentieth Century Fox,winter,101995149
Alive,Walt Disney Studios Motion Pictures,winter,77141208
All About Steve,Twentieth Century Fox,summer,48085322
All Dogs Go to Heaven,United Artists,holiday season,50102453
All Eyez on Me,Lionsgate,summer,55254431
All I Want for Christmas,Paramount Pictures,holiday season,32882959
All My Life,Universal Pictures,holiday season,1043518
All Night Long,Universal Pictures,spring,15322774
All of Me,Universal Pictures,fall,107025008
All the Right Moves,Twentieth Century Fox,fall,52733487
Allegiant,Lionsgate,spring,83391904
Allied,Paramount Pictures,holiday season,49822820
Almost Christmas,Universal Pictures,holiday season,52875805
Almost Famous,DreamWorks Distribution,fall,56521054
Along Came Polly,Universal Pictures,winter,142717405
Along Came a Spider,Paramount Pictures,spring,126673677
Alpha,Studio 8,summer,43387189
Altered States,Warner Bros.,holiday season,75765081
Alvin and the Chipmunks,Twentieth Century Fox,holiday season,317428941
Alvin and the Chipmunks: Chipwrecked,Twentieth Century Fox,holiday season,179232226
Alvin and the Chipmunks: The Road Chip,Twentieth Century Fox,holiday season,109329111
Alvin and the Chipmunks: The Squeakquel,Twentieth Century Fox,holiday season,307897255
Always,Universal Pictures,holiday season,104382562
Amadeus,Orion Pictures,fall,139073415
Ambulance,Universal Pictures,spring,24147981
America's Sweethearts,Revolution Studios,summer,160069120
American Assassin,Lionsgate,fall,44587099
American Beauty,DreamWorks Distribution,fall,233248561
American Gangster,Universal Pictures,fall,191036313
American Gigolo,Paramount Pictures,winter,87563144
American Hustle,Sony Pictures Entertainment (SPE),holiday season,193501163
American Made,Universal Pictures,fall,63150660
American Me,Universal Pictures,spring,28397553
American Ninja,Cannon Film Distributors,summer,29819130
American Pie,Universal Pictures,summer,186661027
American Pie 2,Universal Pictures,summer,248127147
American Reunion,Universal Pictures,spring,75255207
American Sniper,Warner Bros.,holiday season,446460253
American Underdog,Lionsgate,holiday season,29082789
American Wedding,Universal Pictures,summer,172532438
Amistad,DreamWorks Distribution,holiday season,82443555
Amityville 3-D,Orion Pictures,holiday season,19379393
Amityville II: The Possession,Orion Pictures,fall,39735369
Amsterdam,Walt Disney Studios Motion Pictures,fall,15844847
An American Tail,Universal Pictures,holiday season,129072896
An American Tail: Fievel Goes West,Universal Pictures,holiday season,34682271
An American Werewolf in London,Universal Pictures,summer,105144604
An Ideal Husband,Miramax,summer,33748212
An Innocent Man,Walt Disney Studios Motion Pictures,fall,49517581
An Officer and a Gentleman,Paramount Pictures,summer,409098641
Anaconda,Sony Pictures Entertainment (SPE),spring,123865241
Anacondas: The Hunt for the Blood Orchid,Screen Gems,summer,52227055
Analyze That,Warner Bros.,holiday season,48570104
Analyze This,Warner Bros.,spring,194531897
Anastasia,Twentieth Century Fox,holiday season,94456236
Anchorman 2: The Legend Continues,Paramount Pictures,holiday season,162027106
Anchorman: The Legend of Ron Burgundy,DreamWorks Distribution,summer,138167050
Andre,Paramount Pictures,summer,34482830
Angel,New World Pictures,winter,51416378
Angel Eyes,Warner Bros.,summer,41337912
Angel Has Fallen,Lionsgate,summer,82146218
Angel Heart,TriStar Pictures,spring,46229350
Angels & Demons,Sony Pictures Entertainment (SPE),summer,189393701
Angels in the Outfield,Walt Disney Studios Motion Pictures,summer,102985503
Anger Management,Revolution Studios,spring,223815607
Anna and the King,Twentieth Century Fox,holiday season,37387111
Annabelle,Warner Bros.,fall,107870480
Annabelle Comes Home,Warner Bros.,summer,88241583
Annabelle: Creation,Warner Bros.,summer,125573407
Annie,Columbia Pictures,summer,156633576
Annie,Sony Pictures Entertainment (SPE),holiday season,109966414
Annihilation,Paramount Pictures,winter,39606084
Another 48 Hrs.,Paramount Pictures,summer,189924588
Another Stakeout,Walt Disney Studios Motion Pictures,summer,42437841
Ant-Man,Walt Disney Studios Motion Pictures,summer,230658768
Ant-Man and the Wasp,Walt Disney Studios Motion Pictures,summer,262144975
Antlers,Searchlight Pictures,fall,12106423
Antz,DreamWorks Distribution,fall,164036445
Any Given Sunday,Warner Bros.,holiday season,136467787
Any Which Way You Can,Warner Bros.,holiday season,272146274
Anywhere But Here,Twentieth Century Fox,holiday season,32893187
Apocalypto,Walt Disney Studios Motion Pictures,holiday season,64407896
Apollo 13,Universal Pictures,summer,342421910
April Fool's Day,Paramount Pictures,spring,35347392
